deposit_year,deposit_loc,deposit_category,weight
1999,En dépôt depuis le 29/10/1999 : Musée des beaux-arts (Rennes),dépôt culturel,0.0007092198581560284
1991,En dépôt depuis le 28/02/1991 : Tribunal de Grande Instance (Paris),dépôt non culturel,0.0010649627263045794
1993,En dépôt depuis le 10/05/1993 : Ambassade de France (Kuala Lumpur),dépôt non culturel,0.0007518796992481203
2013,En dépôt depuis le 11/09/2013 : Musée national d'art moderne / Centre de création industrielle (Paris),dépôt culturel,0.0008084074373484236
1991,En dépôt depuis le 18/12/1991 : Musée Barthélémy Thimonnier (Amplepuis),dépôt culturel,0.0010649627263045794
2012,En dépôt depuis le 18/10/2012 : Assemblée nationale (Paris),dépôt non culturel,0.0008084074373484236
1995,En dépôt depuis le 27/07/1995 : Direction des archives de France (Paris),dépôt non culturel,0.0017094017094017094
2013,En dépôt depuis le 09/07/2013 : Autorité de Régulation desCommunications Electroniques et des Postes (Paris),dépôt non culturel,0.0008084074373484236
2013,En dépôt depuis le 24/06/2013 : Ministère de l'intérieur (Paris),dépôt non culturel,0.0008084074373484236
2015,En dépôt depuis le 02/09/2015 : Préfecture de Police (Paris),dépôt non culturel,0.0008084074373484236
2007,En dépôt depuis le 19/12/2007 : Musée Buffon (Montbard),dépôt culturel,0.0011001100110011
2013,"En dépôt depuis le 03/10/2013 : Musée de Valence, art et archéologie",dépôt culturel,0.0008084074373484236
1994,En dépôt depuis le 17/05/1994 : Centre national de la recherche scientifique (Paris),dépôt non culturel,0.0014992503748125937
1999,En dépôt depuis le 16/09/1999 : Secrétariat général de la questure de l'Assemblée nationale (Paris),dépôt non culturel,0.0007092198581560284
2002,En dépôt depuis le 28/05/2002 : Ambassade de France (Mexico),dépôt non culturel,0.000591016548463357
1986,En dépôt depuis le 25/11/1986 : Musée départemental d'art contemporain de Rochechouart,dépôt culturel,0.0020833333333333333
2001,En dépôt depuis le 11/06/2001 : Consulat général de France (Los Angeles),dépôt non culturel,0.0005577244841048522
2009,En dépôt depuis le 24/07/2009 : Ministère des Affaires Etrangères et Européennes - Direction Générale (La Courneuve),dépôt non culturel,0.0010741138560687433
2011,En dépôt depuis le 16/02/2011 : Musée des Beaux-Arts de Dole,dépôt culturel,0.0008084074373484236
